ins_code,isin,symbol,name,previous_close,last_price,close_price,close_price_change_percent,volume,trade_value,high,low,buyer_power,buy_power_numerator,sell_power_denominator,real_money_flow,best_buy_price,best_sell_price,best_buy_volume,best_sell_volume
19263270434595738,IRB6AG220861,صفارس806,صكوك اجاره فارس806-بدون ضامن,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19298748452450329,IRO1TRIR0001,تايرا,تراكتورسازي‌ايران‌,2513.0,2523.0,2513.0,0.0,47790304.0,120574207672.0,2590.0,740.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19376530842655853,IRB5AF5405C1,مشير052,مشاركت ش شيراز052-3ماهه18%,0.0,902500.0,902500.0,0.0,0.0,0.0,902500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19378934484791449,IRO9MSMI0C01,ضملي5028,اختيارخ فملي-14000-1405/05/14,8000.0,8000.0,8000.0,0.0,2.0,16000000.0,8000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19452192920639600,IRT1BLOT0002,بلوط2,صندوق س شكوه بامداد زاگرس-ثابت,1.0,1.0,1.0,0.0,2190860.0,2190860.0,10136.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19471788163911687,IRO1NSPS0001,كفپارس,فرآورده‌هاي‌ نسوز پارس‌,3586.0,3586.0,3586.0,0.0,3108853.0,11148427788.0,3696.0,351.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19684616550821204,IRB3ARG107C1,ارگ072,مرابحه ارگ-هامرز071211,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19849619850481241,IRO9IKCO6J11,ضخود6054,اختيارخ خودرو-650-1405/06/04,0.0,70.0,70.0,0.0,0.0,0.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20029490201548092,IRO9SIPA4941,ضسپا4027,اختيارخ خساپا-550-1405/04/24,77.0,72.0,71.0,-7.79,504814.0,36262888000.0,83.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20119181940051841,IRT1RYSH0001,رويش همراه,صندوق س رويش همراه سرمايه-سهام,0.0,18888.0,18883.0,0.0,0.0,0.0,18888.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20268769408830020,IRB6AF170731,صتاير073,صكوك مرابحه پتاير073-بدون ضامن,0.0,918400.0,918400.0,0.0,0.0,0.0,918400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20422238183900843,IRO9MKBT8431,ضمخا7092,اختيارخ اخابر-380-1405/07/22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20450807696007580,IRB3JH010651,فجهان061,مرابحه جهان فولاد-تمدن060501,0.0,883740.0,883740.0,0.0,0.0,0.0,883740.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20652241232631918,IRO3NIAZ0001,نيان,نيان الكترونيك,6170.0,6160.0,6150.0,-0.32,7336326.0,45166076400.0,6330.0,1170.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20758762142671794,IRO9IKCO6G21,ضخود4059,اختيارخ خودرو-550-1405/04/10,45.0,38.0,36.0,-20.0,2119613.0,81303305000.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20894520723622668,IROFZOBI1841,طذوب4014,اختيارف ذوب-360-1405/04/17,0.0,7.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20928147821549633,IRB3MR020751,ماريناسان07,مرابحه سلولزي ماريناسان070527,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21055677393441749,IROFSIPA5911,طسپا4024,اختيارف خساپا-400-1405/04/24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21372334650194496,IRO9SADR2331,ضتاص7007,اختيارخ تاصيكو-14000-05/07/08,0.0,6222.0,6960.0,0.0,0.0,0.0,6222.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21432551703060846,IRO3RPAZ0001,حآفرين,ريل پرداز نو آفرين,1589.0,1594.0,1589.0,0.0,11102745.0,17700710938.0,1638.0,724.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21436608051326239,IRB3KI0508B1,كيش082,اجاره توسعه كيش نوين14081108,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21501758781665781,IRO7MRGN0001,غمارگ,مارگارين,1421.0,1421.0,1421.0,0.0,192118.0,272999678.0,1464.0,-92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21681484495821534,IRB3FR030691,شهر فرش063,مرابحه شهر فرش-تاك دانا060921,0.0,1024900.0,1024900.0,0.0,0.0,0.0,1024900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21709856377680942,IRO9SADR2211,ضتاص5008,اختيارخ تاصيكو-13000-05/05/07,2033.0,2145.0,3040.0,49.53,9.0,19304000.0,1940.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21719868016549497,IRO9MSMI0D21,ضملي7065,اختيارخ فملي-16000-1405/07/08,0.0,8709.0,8200.0,0.0,0.0,0.0,8709.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21772258644715569,IRO1PGDR0001,شغدير,پتروشيمي غدير,32900.0,32900.0,32900.0,0.0,196610.0,6468469000.0,31950.0,5089.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21895320408663881,IROFBMLT1L21,طملت6018,اختيارف وبملت-1000-1405/06/18,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22087269603540841,IRO1BPST0001,وپست,پست بانك ايران,8930.0,8930.0,8930.0,0.0,20118825.0,179661107250.0,9200.0,1903.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
