symbol,missing,latest_date,latest_close,rsi,macd,macd_signal,macd_hist,trend_score,volume_ratio_20,return_5d_percent,distance_to_20d_high_percent,distance_to_20d_low_percent,support,resistance,stop_loss,target_1,risk_reward,stale,bb_upper,bb_mid,bb_lower,bb_width,bb_position,candlestick_signal,candlestick_patterns,candlestick_bonus,initial_score,initial_label,sector,smart_money_signal,smart_money_fa,queue_signal,queue_fa,queue_detail,sector_status,confidence_score,confidence_grade,confidence_factors,decision_label,decision_reasons,rsi_status
ستاره,False,2026-06-21,20106.0,,181.68,183.38,-1.7,6,1.05,0.62,0.0,2.52,19611.0,20106.0,19022.67,20106.0,,False,20170.43,19868.45,19566.47,3.04,89.3,neutral,بدون الگو,0,71,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,71,B,پول هوشمند: +3 | روند 6/6: +18,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
كگل,False,2026-06-21,2047.0,39.9,-35.62,-44.09,8.47,2,0.41,-6.74,10.18,3.49,1978.0,2279.0,1918.66,2279.0,1.81,False,2299.86,2135.65,1971.44,15.38,23.0,neutral,بدون الگو,0,58,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,58,C,پول هوشمند: +3 | روند 2/6: +6 | حجم 0.4x: -5 | R:R=1.8: +4,Watch Only,RSI=40 خارج از محدوده ایده‌آل,ضعیف
آتيه ملت,False,2026-06-21,18165.0,,155.63,156.09,-0.47,6,0.29,0.61,0.0,2.38,17742.0,18165.0,17209.74,18165.0,,False,18216.47,17954.85,17693.23,2.91,90.2,neutral,بدون الگو,0,66,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,66,B,پول هوشمند: +3 | روند 6/6: +18 | حجم 0.3x: -5,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
سورنافود,False,2026-06-21,22771.0,75.48,2036.05,1805.02,231.03,6,1.03,0.88,6.25,44.01,15812.0,24290.0,15337.64,24290.0,0.2,False,25561.29,20264.75,14968.21,52.27,73.7,neutral,بدون الگو,0,61,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,61,C,پول هوشمند: +3 | RSI=75: -10 (اشباع خرید) | روند 6/6: +18,Wait for Pullback,RSI=75 در محدوده ۷۰-۸۰ → صبر برای پولبک,اشباع خرید
دتماد,False,2026-06-21,35070.0,,2913.4,1861.34,1052.06,6,12.73,15.86,0.0,74.74,20070.0,35070.0,19467.9,35070.0,,False,36226.55,26905.0,17583.45,69.29,93.8,neutral,دوجی,5,81,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,81,A,پول هوشمند: +3 | روند 6/6: +18 | حجم 12.7x: +10,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
اركيده,False,2026-06-21,17983.0,,162.85,164.38,-1.54,6,0.53,0.6,0.0,2.54,17538.0,17983.0,17011.86,17983.0,,False,18043.49,17770.1,17496.71,3.08,88.9,neutral,بدون الگو,0,66,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,66,B,پول هوشمند: +3 | روند 6/6: +18 | حجم 0.5x: -5,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
كچاد,False,2026-06-21,2400.0,38.4,-33.15,-35.59,2.43,2,0.51,-7.12,11.24,0.0,2400.0,2704.0,2280.0,2704.0,2.53,False,2702.25,2528.35,2354.45,13.76,13.1,neutral,بدون الگو,0,61,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,61,C,پول هوشمند: +3 | روند 2/6: +6 | حجم 0.5x: -5 | R:R=2.5: +7,Watch Only,RSI=38 خارج از محدوده ایده‌آل,ضعیف
خپارس,False,2026-06-21,1111.0,82.02,69.54,53.1,16.44,6,3.13,9.67,0.0,40.63,790.0,1111.0,766.3,1111.0,,False,1142.45,954.3,766.15,39.43,91.6,neutral,دوجی,5,61,Weak Candidate,خودرو,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🔴 عقب‌مانده,61,C,پول هوشمند: +3 | RSI=82: -10 (اشباع خرید) | روند 6/6: +18 | حجم 3.1x: +10 | سکتور عقب‌مانده: -10,Avoid Entry Now - Overbought,RSI=82 ≥ 80 → اشباع خرید شدید,اشباع خرید شدید
پترول,False,2026-06-21,1777.0,66.17,-32.88,-82.94,50.07,5,5.26,29.61,0.0,30.66,1360.0,1777.0,1319.2,1777.0,,False,1798.54,1539.9,1281.26,33.59,95.8,neutral,دوجی,5,86,Weak Candidate,نفت و گاز,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,86,A,پول هوشمند: +3 | RSI=66: +8 (مناسب) | روند 5/6: +15 | حجم 5.3x: +10,Entry Candidate,"امتیاز=76, trend=5, RSI=66, BB=bb_overbought",بالاتر از میانه
شفن,False,2026-06-21,4623.0,46.78,-373.78,-455.05,81.27,4,3.44,15.86,11.44,15.86,3990.0,5220.0,3870.3,5220.0,0.79,False,5289.52,4512.55,3735.58,34.44,57.1,neutral,بدون الگو,0,90,Weak Candidate,پتروشیمی,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,90,A,پول هوشمند: +3 | RSI=47: +15 (ایده‌آل) | روند 4/6: +12 | حجم 3.4x: +10,Entry Candidate,"امتیاز=90, trend=4, RSI=47, حجم=3.4x",محدوده ایده‌آل
غگيلا,False,2026-06-21,17160.0,27.41,-94.15,31.41,-125.56,2,1.34,-6.18,16.09,0.0,17160.0,20450.0,16302.0,20450.0,3.83,False,20401.43,18484.5,16567.57,20.74,15.5,bearish,ستاره تیرانداز 🔻,-15,68,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,68,B,پول هوشمند: +3 | RSI=27: -5 (اشباع فروش) | روند 2/6: +6 | حجم 1.3x: +4 | R:R=3.8: +10,Watch Only,RSI=27 خارج از محدوده ایده‌آل,اشباع فروش
كرمان,False,2026-06-21,1105.0,41.37,0.13,-1.18,1.31,3,0.45,-5.23,7.84,7.59,1027.0,1199.0,996.19,1199.0,0.86,False,1205.01,1124.05,1043.09,14.4,38.2,neutral,دوجی,5,62,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,62,C,پول هوشمند: +3 | RSI=41: +5 (کمی پایین) | روند 3/6: +9 | حجم 0.5x: -5,Watch Only,RSI=41 خارج از محدوده ایده‌آل,ضعیف
سام,False,2026-06-21,19956.0,,181.84,183.24,-1.41,6,0.34,0.66,0.0,2.54,19461.0,19956.0,18877.17,19956.0,,False,20012.86,19711.5,19410.14,3.06,90.6,neutral,بدون الگو,0,66,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,66,B,پول هوشمند: +3 | روند 6/6: +18 | حجم 0.3x: -5,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
اونيكس,False,2026-06-21,22952.0,,196.01,198.63,-2.62,6,0.72,0.59,0.0,2.32,22431.0,22952.0,21758.07,22952.0,,False,23017.56,22694.4,22371.24,2.85,89.9,neutral,بدون الگو,0,66,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,66,B,پول هوشمند: +3 | روند 6/6: +18 | حجم 0.7x: -5,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
كدما,False,2026-06-21,70470.0,95.29,5147.49,3422.11,1725.38,6,3.46,7.69,1.44,61.67,43590.0,71500.0,42282.3,71500.0,0.04,False,76669.33,58046.5,39423.67,64.17,83.4,neutral,دوجی,5,71,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,71,B,پول هوشمند: +3 | RSI=95: -10 (اشباع خرید) | روند 6/6: +18 | حجم 3.5x: +10,Avoid Entry Now - Overbought,RSI=95 ≥ 80 → اشباع خرید شدید,اشباع خرید شدید
